date,tenor_years,yield_percent,source_id,notes
2024-01-01,1.0,7.109,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-01-02,1.0,7.094,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-01-03,1.0,7.158,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-01-04,1.0,7.158,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-01-05,1.0,7.163,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-01-08,1.0,7.152,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-01-09,1.0,7.095,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-01-10,1.0,7.113,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-01-11,1.0,7.085,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-01-12,1.0,7.087,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-01-15,1.0,7.089,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-01-16,1.0,7.06,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-01-17,1.0,7.101,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-01-18,1.0,7.096,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-01-19,1.0,7.07,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-01-23,1.0,7.09,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-01-24,1.0,7.11,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-01-25,1.0,7.09,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-01-29,1.0,7.081,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-01-30,1.0,7.074,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-01-31,1.0,7.096,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-02-01,1.0,7.016,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-02-02,1.0,6.988,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-02-05,1.0,7.011,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-02-06,1.0,6.978,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-02-07,1.0,7.032,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-02-08,1.0,7.029,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-02-09,1.0,7.047,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-02-12,1.0,7.063,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-02-13,1.0,7.078,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-02-14,1.0,7.102,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-02-15,1.0,7.074,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-02-16,1.0,7.096,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-02-20,1.0,7.031,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-02-21,1.0,6.955,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-02-22,1.0,7.016,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-02-23,1.0,7.041,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-02-26,1.0,7.018,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-02-27,1.0,7.031,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-02-28,1.0,7.031,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-02-29,1.0,7.037,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-03-01,1.0,7.01,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-03-04,1.0,7.041,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-03-05,1.0,7.037,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-03-06,1.0,7.034,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-03-07,1.0,7.04,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-03-11,1.0,7.027,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
