"Date","Price","Open","High","Low","Change %"
"13-05-2026","5.909","5.950","5.950","5.907","0.15%"
"12-05-2026","5.900","5.911","6.014","5.899","-0.22%"
"11-05-2026","5.913","5.855","5.913","5.855","0.97%"
"08-05-2026","5.856","5.822","5.910","5.822","0.53%"
"07-05-2026","5.825","5.847","5.851","5.815","-0.39%"
"06-05-2026","5.848","5.923","5.925","5.848","-1.28%"
"05-05-2026","5.924","5.870","5.963","5.867","0.89%"
"04-05-2026","5.872","5.647","6.007","5.645","3.98%"
"01-05-2026","5.647","5.647","5.647","5.647","0.00%"
"30-04-2026","5.647","5.674","5.695","5.628","-0.60%"
"29-04-2026","5.681","5.671","5.681","5.548","0.16%"
"28-04-2026","5.672","5.494","5.672","5.494","3.22%"
"27-04-2026","5.495","5.751","5.772","5.467","-4.62%"
"24-04-2026","5.761","5.480","5.761","5.468","5.11%"
"23-04-2026","5.481","5.501","5.501","5.469","-0.36%"
"22-04-2026","5.501","5.500","5.511","5.486","0.02%"
"21-04-2026","5.500","5.570","5.570","5.489","-1.27%"
"20-04-2026","5.571","5.571","5.575","5.545","0.00%"
"17-04-2026","5.571","5.564","5.571","5.474","0.07%"
"16-04-2026","5.567","5.697","5.697","5.533","-2.30%"
"15-04-2026","5.698","5.571","5.698","5.547","2.28%"
"14-04-2026","5.571","5.571","5.571","5.571","0.00%"
"13-04-2026","5.571","5.621","5.621","5.555","-0.96%"
"10-04-2026","5.625","5.648","5.655","5.625","-0.51%"
"09-04-2026","5.654","5.791","5.791","5.516","-2.40%"
"08-04-2026","5.793","5.816","5.816","5.617","-0.43%"
"07-04-2026","5.818","5.839","5.852","5.698","-0.39%"
"06-04-2026","5.841","5.884","5.962","5.841","-0.73%"
"03-04-2026","5.884","5.884","5.884","5.884","0.00%"
"02-04-2026","5.884","5.779","5.897","5.776","1.73%"
"01-04-2026","5.784","5.779","5.784","5.779","0.09%"
"31-03-2026","5.779","5.779","5.779","5.779","0.00%"
"30-03-2026","5.779","5.742","5.934","5.737","0.49%"
