"Date","Price","Open","High","Low","Change %"
"13-05-2026","6.831","6.810","6.837","6.795","0.34%"
"12-05-2026","6.808","6.772","6.834","6.772","0.52%"
"11-05-2026","6.773","6.691","6.786","6.691","1.21%"
"08-05-2026","6.692","6.621","6.693","6.621","1.04%"
"07-05-2026","6.623","6.628","6.642","6.623","-0.07%"
"06-05-2026","6.628","6.632","6.667","6.628","-0.06%"
"05-05-2026","6.632","6.615","6.649","6.612","0.26%"
"04-05-2026","6.615","6.550","6.615","6.550","0.91%"
"30-04-2026","6.555","6.523","6.568","6.523","0.48%"
"29-04-2026","6.524","6.524","6.524","6.524","-0.15%"
"28-04-2026","6.534","6.554","6.554","6.534","-0.29%"
"25-04-2026","6.553","6.553","6.553","6.553","0.00%"
"24-04-2026","6.553","6.572","6.572","6.553","-0.31%"
"23-04-2026","6.573","6.622","6.622","6.573","-0.73%"
"22-04-2026","6.621","6.605","6.621","6.605","0.23%"
"21-04-2026","6.606","6.618","6.618","6.606","-0.17%"
"20-04-2026","6.617","6.645","6.645","6.617","-0.39%"
"17-04-2026","6.643","6.640","6.643","6.640","0.02%"
"16-04-2026","6.642","6.666","6.666","6.642","-0.36%"
"15-04-2026","6.666","6.658","6.666","6.658","0.12%"
